,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.6366807150123529,0.5935183839558204,0.7446592065106816,0.632320883592501,0.719590175846534,0.7321610231071065,0.9970934457200988,0.9976747565760792
mq2,0.830537998737024,0.8099284103043668,0.902456595889716,0.8326911161651622,0.8613458758708048,0.8853581027262513,0.9980475537554576,0.9955611117904636
mq3,0.9717709278412592,0.9801489776325408,0.9903174945948126,0.9823713022738398,0.9377756162396844,0.9665528080399306,0.9960058666307868,0.9880301627484556
mq4,0.2965068698114742,0.6811884474588557,0.3953629510314567,0.6897353189524569,0.2856343007841352,0.0880793533005502,0.0058737351197966,0.1179615861043448
mq5,0.8341864918428679,0.6859616057066663,0.7249943647257893,0.7027702523669368,0.8493242143160926,0.6178267433490346,0.2762692137792795,0.1863294912101299
