,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.866910866910867,0.8815628815628817,0.8986568986568988,0.8449328449328449,0.8595848595848595,0.9023199023199024,0.8644688644688644,0.9377289377289376
mq2,0.7771557582878338,0.6866288847420923,0.7123966180569954,0.6400580551523948,0.7546709056143018,0.6933328725781556,0.7858870689059368,0.7443269518741217
mq3,0.9118344967401572,0.8731195429308637,0.8966641325131891,0.8432856451724376,0.872140438178174,0.8452668924367037,0.9035409035409036,0.806229410002995
mq4,0.152345322378864,0.4594464654050957,0.4110037131234377,0.606919390908107,0.1652097012336788,0.0168002759774829,0.0029005349440778,0.0
mq5,0.9861157937789276,0.917559058805202,0.9342212010220698,0.8828387661531278,0.9858993906374224,0.918086415363798,0.6414574850887489,0.3080575221718236
