,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.921448176708927,0.9410098897747572,0.9257613383871388,0.9431011196793448,0.8816276739424042,0.912865420642182,0.9505075589247596,0.9760815579662788
mq2,0.8547799315945559,0.8352252175578204,0.8643954510630285,0.818907881098734,0.7595015619433272,0.8967205402599885,0.9758132351880148,0.9626978412221324
mq3,0.9509214748396768,0.9423329862348162,0.9581449128043624,0.9410629890754888,0.8294605372342749,0.9543627574649513,0.9873811238238364,0.9591716370438426
mq4,0.3250639886778737,0.7725565084475423,0.6359998987276185,0.7757993251499176,0.3229001418745803,0.5245045990325441,0.0,0.0
mq5,0.7369034802822562,0.6248781117114951,0.5374356567237083,0.6261110423308676,0.7435458659814196,0.5952957247685293,0.4213257426005931,0.2616136141047971
