,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.7902857142857143,0.666,0.77,0.6782857142857143,0.7574285714285715,0.8888571428571429,0.9828571428571428,0.9928571428571428
mq2,0.9097943324569092,0.8566713409290097,0.8767613204791119,0.8646362839614373,0.9017686240140228,0.9372538708735028,0.9829395267309378,0.9757055214723926
mq3,0.9468600642711072,0.936163599182004,0.9466397896581946,0.9379526730937774,0.9421402278702892,0.9442763657610284,0.9830108092316682,0.9710791703184342
mq4,0.278778790976781,0.4494332715470788,0.3457249978752963,0.4432418520230607,0.2741209237503965,0.3517423363924584,0.0,0.0801043360943127
mq5,0.8088510981356098,0.7269039958317679,0.7464699193414065,0.7377132844211511,0.8091230099734856,0.6420006738098591,0.6524370840593294,0.5192858674466051
