,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.6022675736961451,0.6643990929705215,0.6417233560090703,0.5918367346938777,0.6181405895691611,0.6272108843537414,0.6199546485260771,0.9455782312925172
mq2,0.936452738990333,0.936528822055138,0.9384129967776584,0.9269169948681228,0.929203962286669,0.9455976250149184,0.9870211242391692,0.922062596968612
mq3,0.9668367346938777,0.9730501849862752,0.9800871225683256,0.9779567967537892,0.952376476906552,0.9344492182838048,0.9857873851294904,0.8719253490870033
mq4,0.2462979492565672,0.4111890511584537,0.3062119998568858,0.4252119024318181,0.2386157995058184,0.172856876279201,0.0050377748293642,0.2138163945170981
mq5,0.8781367300297253,0.7581891766015264,0.7772852474289569,0.802059389527733,0.8682317103225548,0.7059056502068116,0.4633985816192338,1.0
