,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.9997179523339444,0.9830771400366662,0.9992948808348612,0.9943590466788886,0.9981666901706387,0.9409110139613596,1.0,1.0
mq2,0.9765558433267436,0.9737553520796512,0.9765081316706596,0.9755965434805188,0.9758141311510388,0.9520372595663278,0.9804665102174722,0.9732733095366172
mq3,0.990466535551095,0.9913800941341122,0.9926391751822824,0.9916071115419705,0.9779065476436776,0.974080889131341,0.9946253312019312,0.9921013986693092
mq4,0.1478213430312367,0.2687697000127508,0.1533962246816569,0.2701407934232085,0.1567390100735644,0.2326555738672432,0.0325070895422291,0.2423703436272442
mq5,0.9692509887754645,0.9052794106358883,0.9676630532923036,0.9087720833645891,0.9613057755957254,0.8782557681583467,0.7479283800559872,0.6896427424890054
