,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,0.922,1.0,1.0
mq2,0.983471808355244,0.9828577271399356,0.9832410166520597,0.9823295354951797,0.9833362547472976,0.968865322816243,0.9834431784983932,0.9878510078878175
mq3,0.9842565001460708,0.9850680689453696,0.9850704060765412,0.984615249780894,0.9846374525270232,0.9830446976336548,0.9855436751387672,0.9889628980426528
mq4,0.3204752566962663,0.4758324956511477,0.3006351845402655,0.4800771968032937,0.2957955381220934,0.0436069456107461,0.0,0.0822656388490188
mq5,0.737396011541628,0.7017980104135878,0.7597792676294138,0.673087719752499,0.7729104154522599,0.7165680885643151,0.6898798005779422,0.982821758357032
