,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.692,0.6762857142857143,0.7071428571428571,0.6394285714285715,0.6265714285714286,0.75,0.8334285714285714,0.9448571428571428
mq2,0.8413251533742332,0.8125223488168274,0.8294618755477652,0.8113526146654981,0.8147508033888402,0.9080198656149576,0.950669003797838,0.92279754601227
mq3,0.9182132632193982,0.9183219398188724,0.9230417762196904,0.9176307332749052,0.8942103418054338,0.8751913526146655,0.9384697633654688,0.8903529068068945
mq4,0.2875517547525959,0.4390498791240635,0.3941843844816412,0.4435346226959739,0.2908127107249343,0.2625864714036091,0.0160354345946249,0.0723960789104487
mq5,0.788633015749181,0.7243492882391613,0.7330202897415087,0.723238323139472,0.7700037330314518,0.564166114747237,0.6516143810442632,0.476625504367103
