,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.8009118541033435,0.8006079027355624,0.7990881458966566,0.8033434650455926,0.8012158054711246,0.7893617021276595,0.8015197568389056,0.9513677811550154
mq2,0.8870823979710087,0.913599671547106,0.8786207627258942,0.8998596128758832,0.8869089006761097,0.8982484719656184,0.9580692797213448,0.932316851090318
mq3,0.9352729271377582,0.9448954049704988,0.9324691578759164,0.941888339260054,0.9291925753753038,0.9165160153896074,0.9436597333969048,0.886634086258617
mq4,0.279723549751865,0.4971370200328044,0.4337944528483218,0.5037792545943264,0.274402806814721,0.0,0.0064476076816915,0.0476642352138449
mq5,0.799519974179347,0.5847276648196341,0.551323176279436,0.5879276833062,0.8102037989353474,0.5498439766410745,0.4988833304165516,1.0
