,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.9978517722878626,0.976638023630505,0.9959720730397422,0.9786519871106336,0.984828141783029,0.9133995703544576,1.0,1.0
mq2,0.9771301983081432,0.967209308374722,0.9771485592287598,0.9678218490875132,0.970248423255942,0.9205478337683852,0.982600987613519,0.9739050515992872
mq3,0.9917321029476418,0.9871026008244054,0.9924741901558944,0.9870782471033096,0.9546042813586674,0.9658795442003462,0.9950538995025212,0.9905336703582318
mq4,0.1387568037604113,0.2464520269529043,0.1532181125412774,0.2473680066360396,0.1632556415513722,0.0,0.0,0.0
mq5,0.9790546048822408,0.949949536089567,0.9781922855774282,0.9497686527013632,0.9617898323265944,0.921462652246426,0.7661967276766382,0.2479857648775831
