,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.8989719957461892,0.8894009216589862,0.8915278270116981,0.8883374689826304,0.8989719957461892,0.8947181850407656,0.8922367954626019,0.955334987593052
mq2,0.9322898957527004,0.8882777854140593,0.9163480528687902,0.9087365892830014,0.918543684755008,0.8923896215700033,0.9809500900679308,0.960539213913144
mq3,0.9638860152355874,0.962293549110534,0.9689464584132128,0.9654549696518095,0.9348996954329408,0.9055625085908168,0.9795258230906684,0.9267818258107924
mq4,0.1867208536959246,0.336846439299552,0.262016565058779,0.3443309682840533,0.1893457416223433,0.0731802526200796,0.0,0.0
mq5,0.9278770269126108,0.838069251090933,0.8955845179259035,0.8612993709183828,0.9315173347962898,0.7115970827873237,0.5549443478150035,0.4708212645300094
