,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.5891428571428571,0.5954285714285714,0.6051428571428571,0.5822857142857142,0.6054285714285713,0.692,0.7031428571428571,0.9951428571428572
mq2,0.8326269354367514,0.816660239555945,0.8282933099620217,0.8190277534326614,0.8510575518550979,0.9115822378030968,0.9810961145194274,0.9559877300613496
mq3,0.9493789073911774,0.9573380075956764,0.9549722465673386,0.9583505696757232,0.9541747005550688,0.8973689745836986,0.9537914110429448,0.7872106339468303
mq4,0.2588147764698658,0.3706760070687658,0.3207655788866129,0.3694773821262467,0.2545126419154677,0.3427449356783939,0.0121858645424518,0.0257014405577855
mq5,0.7984352931568606,0.7082805365251611,0.7228287988586984,0.7133683083442222,0.8065022739514235,0.4861426460166002,0.6119308361384331,0.2111802570007822
