,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mq2,0.7881946270776352,0.7866100672711095,0.7883514633301775,0.7859126596031454,0.7791372650058734,0.7826007094203661,0.8279098466867417,0.7799714078608248
mq3,0.8378710033465706,0.8241285520329266,0.8282083149786976,0.8229536498877902,0.8247593214154219,0.7860947677234553,0.8903660832084123,0.8611388599415282
mq4,0.1370956170089563,0.2222749501819567,0.2197552352397171,0.2228590549092726,0.1345083960800538,0.0,0.0057077146618187,0.0
mq5,0.9061369366352082,0.8946872535803305,0.8947975258992612,0.8941124853371076,0.9068077728951908,0.7800068284116448,0.8035404402995473,0.7560846275823675
