,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.8194980694980696,0.8161196911196911,0.8137065637065636,0.8170849420849421,0.818050193050193,0.8214285714285713,0.817084942084942,0.9802123552123552
mq2,0.9297940797940798,0.8853688274740906,0.9217418546365914,0.9106448553816976,0.930114136693084,0.9038203617150986,0.9779550226918649,0.9514004606109868
mq3,0.9703075255706834,0.9456208087787036,0.9672966199281988,0.9577643432906592,0.9695031497663076,0.9200298042403304,0.981731355415566,0.8984014089277247
mq4,0.1962417594938683,0.3214200566170745,0.2472281921688256,0.3186298926959949,0.1928878033621557,0.1103445374244828,0.0060534298506755,0.0
mq5,0.918553706635878,0.8964411607407974,0.9009920091513012,0.90204089823097,0.9205950564378884,0.7395336081237079,0.61361817007178,0.4310097588957445
