,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0
mq2,0.9466415425065732,0.9453829973707274,0.9449482909728308,0.9445200116856558,0.9486573181419808,0.943475898334794,0.9744189307624892,0.968178206251826
mq3,0.9557131171487,0.954154834940111,0.9539205375401696,0.9540747881974876,0.9573052877592756,0.9510674846625768,0.9795647093193104,0.9718439964943032
mq4,0.2553130387706951,0.3510598191405614,0.2818952970293553,0.3629986990072502,0.2280621838689106,0.1088066843719756,0.0,0.1518898947514397
mq5,0.80234523846361,0.8117832530823981,0.8557973455950197,0.8562253694604504,0.822076029039247,0.7389754024097729,0.5352297556429765,0.7380058601339432
