,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.8503670242800676,0.8503670242800678,0.849802371541502,0.849802371541502,0.8486730660643704,0.8531902879728965,0.859966120835686,0.9644268774703556
mq2,0.9167487201982352,0.891446677648618,0.9020677489955248,0.8868337914331447,0.8978958519023197,0.8873447788287889,0.9647395364247682,0.9332589796118362
mq3,0.9617622765305124,0.9521818461811276,0.9569883942862742,0.9525855028909288,0.941717104311427,0.896339556957595,0.9601966484826708,0.8887330779174114
mq4,0.1862555695594749,0.2987197854425101,0.2645990178562326,0.3093221669760473,0.1848839141804481,0.0262370473047541,0.0137320280787579,0.0
mq5,0.947316549594122,0.9065822763395875,0.9018199726631896,0.8977337275219329,0.932396677837758,0.8040560178486548,0.7400807298219625,0.5233922964318611
