,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.7991513437057992,0.7949080622347952,0.7906647807637907,0.7793493635077793,0.0,0.782178217821782,0.7949080622347949,0.985855728429986
mq2,0.9457331447430456,0.9187018701870188,0.9289486091466288,0.8870972811566871,0.0,0.9024831054534024,0.9758290114725758,0.9124469589816124
mq3,0.966069464089266,0.9388181675310387,0.9527109853842528,0.9514851485148514,0.0,0.8972654408297973,0.9785478547854786,0.834009115197234
mq4,0.1284062925823362,0.2907034851840986,0.244441864240118,0.417811431554467,0.0,0.1445483345937192,0.0,0.0
mq5,0.969380867574828,0.8895849468277486,0.9416357006990724,0.8111101641026488,0.0,0.7485656275690264,0.7613934369810776,0.5159045235173114
