,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mq2,0.7795644896972964,0.7773341960012098,0.7775075377283646,0.7763887952893787,0.7739036940484957,0.7862602333942598,0.8016453218690827,0.7682189277934112
mq3,0.803774459606652,0.8045755572686548,0.8073156372729504,0.8064997120787748,0.8020772721943159,0.796143691046006,0.8872631909561505,0.850356607285311
mq4,0.356318913706664,0.619786808460781,0.6125725996179838,0.6228648221827162,0.3448703571053158,0.0332735649279919,0.0,0.0
mq5,0.735122220312264,0.8561730102679991,0.8568414383975476,0.8572704386940537,0.7716059476239387,0.7694879112332371,0.7845858898793746,0.7523449361939785
