,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.6788874841972188,0.5739570164348926,0.6156763590391907,0.5600505689001265,0.6662452591656133,0.6333754740834387,0.6611883691529709,0.8678887484197219
mq2,0.8807544174286303,0.8441066650986387,0.8588128068679622,0.8181959838885132,0.856548966571605,0.8444094904889308,0.9278981565871872,0.8918619351424455
mq3,0.9181518831035193,0.9244053744156646,0.9191103401640548,0.905368535559933,0.8830564784053156,0.8962720136418428,0.9293623026489872,0.8759180313409579
mq4,0.3504110410681062,0.5721739587216124,0.4958921419435947,0.609724458611098,0.3237711111063803,0.0039822421111556,0.0035719249125363,0.0
mq5,0.7248502399967387,0.5411030512988964,0.599580096177456,0.554535096251137,0.7090028820243274,0.5557917471438187,0.6268276573219355,0.8146994638462587
