BD,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10,MD11,MD12,MD13,MD14,MD15,MD16,MD17,MD18,MD19,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
cifar,imagem,3250,1024,0.14258,0.00241,0.0,0.0,0.0,0.0,0.0,0.0,0.32195,0.01084,0.10414,0.65829,3736.0,0.00319,0.09882,0.35433,0.33635,149,0.04516,0.01083,2,0.00029,0.00003,0.69932,0.25647,0.03677,0.00743,2.0,3.5,6.0,5.0,3.5,7.0,1.0,8.0
g2-1024-10,tabular,2048,1024,0.00098,0.0,0.0,6.31915,0.06961,0.0,0.0,0.0,0.49843,0.23259,0.48227,-0.0009,1.00032,0.49976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50024,0.49672,0.50328,0.0,0.0,2.0,5.0,6.0,7.0,3.5,8.0,1.0,3.5
