DB,Indice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,0.921448176708927,0.9410098897747572,0.9257613383871388,0.9431011196793448,0.8816276739424042,0.912865420642182,0.9505075589247596,0.9760815579662788
,mq2,0.8547799315945559,0.8352252175578204,0.8643954510630285,0.818907881098734,0.7595015619433272,0.8967205402599885,0.9758132351880148,0.9626978412221324
1,mq3,0.9509214748396768,0.9423329862348162,0.9581449128043624,0.9410629890754888,0.8294605372342749,0.9543627574649513,0.9873811238238364,0.9591716370438426
,mq4,0.3250639886778737,0.7725565084475423,0.6359998987276185,0.7757993251499176,0.3229001418745803,0.5245045990325441,0.0,0.0
,mq5,0.7369034802822562,0.6248781117114951,0.5374356567237083,0.6261110423308676,0.7435458659814196,0.5952957247685293,0.4213257426005931,0.2616136141047971
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,0.9656045579236128,0.9302947175916156,0.9810789899416192,0.9216431033270028,0.9632833931209116,0.9383132869100372,0.9959203770134346,0.998663571780263
,mq2,0.9712856662327976,0.932641858826102,0.969366300419871,0.9310803827797848,0.9640099671499118,0.9457069593855356,0.9988117697610656,0.9956944934839548
2,mq3,0.9809976481927576,0.9811377677122006,0.9890539286045084,0.9809820832262588,0.9306286505417792,0.9851843804342452,0.998356659890509,0.9892983368815884
,mq4,0.293012591900653,0.4509850794551891,0.307557592045593,0.4516868176221785,0.2943607978035648,0.0023483245291856,0.0456447222143344,0.2044166231000974
,mq5,0.7412945568764835,0.6733241144745841,0.7377441159575272,0.7053350421972507,0.7500980254471338,0.685023228414588,0.4921858910364328,0.5271190432606837
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,0.7715074980268348,0.7790055248618785,0.7951854775059196,0.7884767166535123,0.7884767166535123,0.787687450670876,0.7975532754538279,0.9052880820836622
,mq2,0.7949594910920879,0.738837283036178,0.7560392339397864,0.6670298189635206,0.7608940067503603,0.8831076842126566,0.874642750333358,0.8177773730259918
3,mq3,0.8922224695705359,0.8795694790169928,0.8804970351931678,0.8135780732465816,0.8720770737345322,0.8371537404686575,0.907024017521255,0.862641859879429
,mq4,0.358189845888007,0.689110082265653,0.6384250035467249,0.739743646295731,0.3436722295175939,0.0,0.0011972101318301,0.0896567216691337
,mq5,0.6675360265829563,0.4349719107746819,0.4542763852923591,0.4934220898410772,0.6863305025073536,0.4528765934219064,0.5495092050140983,0.3339730063669774
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,0.8947586779145346,0.9018116443092242,0.8975245470889227,0.8987691882173974,0.900013829345872,0.8995989489697137,0.9025031116028212,0.9473101922279076
,mq2,0.7388895008201533,0.7087649365730989,0.7254620449407734,0.7108040208484832,0.7131749011715973,0.8447328459954843,0.865084582282037,0.8053261114017409
4,mq3,0.8814332506729966,0.8785745543824818,0.8664422126845142,0.8839084600143814,0.8660343687661382,0.8614889523553324,0.9117538885224818,0.9020288272850016
,mq4,0.3296996586308415,0.6737123779714319,0.6229347453452471,0.671691848028546,0.3225267785671908,0.5353971479748195,0.0,0.4996711873186701
,mq5,0.7469323013339537,0.8201322962908486,0.7888375512073617,0.8053905891727098,0.7655917009382824,0.6356828464972666,0.5343022340286967,0.4812648438498256
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,0.9004287097220302,0.9031945788964182,0.9012584704743466,0.9015350573917854,0.8962799059604482,0.9052689807772092,0.9001521228045913,0.9488314202738212
,mq2,0.7914803922338074,0.7684936378243165,0.781895518885988,0.7647686453276161,0.7785318214331045,0.8800615473549549,0.9222809706306372,0.9052800767298658
5,mq3,0.916635160475892,0.9082172565879512,0.933735917950572,0.911185153290586,0.9026372102501704,0.9059766860503036,0.9380234211203612,0.9251756611090378
,mq4,0.3092740876095365,0.6141214587739121,0.5344975035569574,0.6180016194866962,0.2965666470676482,0.3826310703141888,0.0028901836336803,0.0
,mq5,0.7657164277630738,0.8034694514962185,0.7437941418913095,0.8000376223189137,0.8169518432381457,0.6622389448564437,0.5543873296717244,0.3874999846550999
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,0.9780990218008214,0.9783327212633124,0.9766300537508764,0.9772309952258538,0.97786532233833,0.9795346042132674,0.98160451373819,0.9897506092878844
,mq2,0.866503390456983,0.8441788417599319,0.866898589420833,0.8389799048187052,0.833580184713627,0.925946322465646,0.987872025748806,0.965945460759501
6,mq3,0.952933064362534,0.9708880839275502,0.9729414570800096,0.9678336188113016,0.8726267841486495,0.9544166132063632,0.983586609962606,0.9840205606715752
,mq4,0.3424882442322609,0.5856129491047651,0.491451316860608,0.5874555222467714,0.3313477091322893,0.4059729873994315,0.0,0.0218243545838363
,mq5,0.7242357212104883,0.6047979053984227,0.6046568362764828,0.591829608443716,0.7229160614507522,0.5923445498362663,0.5597644322732268,0.5200419216345411
BD,Índice,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
,mq1,0.7722567287784677,0.7474120082815734,0.7556935817805381,0.7412008281573499,0.7598343685300204,0.7349896480331262,0.7784679089026914,0.979296066252588
,mq2,0.8194831155850646,0.7779324623402585,0.8139144713357607,0.7590490469051189,0.8364389233954451,0.8189833654601271,0.8711001642036125,0.7956021989005497
