,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.7867325388444714,0.6530019610801027,0.8143762256750641,0.7016895459345301,0.7505279831045406,0.87784733745663,0.9978126414240458,0.9983029114496909
mq2,0.8972155945588205,0.8520696242746897,0.8908182402136807,0.8563224254368397,0.880631774849584,0.9159124550133992,0.9922338016784508,0.9815380549828532
mq3,0.9600208513286728,0.9614625253811916,0.9698695065563644,0.9619204741898956,0.9379175822347814,0.9520671659850356,0.9893662097922364,0.9872589503211012
mq4,0.2800997610354087,0.4420431806092282,0.3307471102382148,0.4272564998197426,0.2860227543251794,0.3440143296635185,0.0111734514784569,0.0
mq5,0.8057173448641151,0.7280492579008407,0.7485146209156125,0.7617552502928477,0.7821269966000023,0.645605532993217,0.4384468512069541,0.4007700172934846
