,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mq2,0.7646068656199594,0.7663120660635389,0.7643420931516937,0.7630701785385546,0.7628132136391927,0.7604725181793078,0.7753279589864296,0.7642136791894593
mq3,0.8167821775939758,0.7791585646017427,0.7770723684931446,0.7759782130474613,0.8123456292955327,0.7815738428908935,0.8808517728934357,0.8393049592581878
mq4,0.2096009413150904,0.351066256226456,0.3525997310862993,0.3539318442528405,0.202619041349422,0.0,0.0051262206153255,0.2768796327313464
mq5,0.8789023510415317,0.8777977366682578,0.8783213271192254,0.8769255094188818,0.8847323996702752,0.765151682122824,0.7965980752177432,0.7434684430388674
