,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.5937142857142856,0.5971428571428571,0.584,0.5862857142857142,0.6011428571428571,0.5971428571428571,0.6222857142857142,1.0
mq2,0.6444877465630604,0.6163084279736999,0.5930089659294681,0.5812934847579199,0.5994931261207412,0.7661350866706516,0.719531380753138,0.658302450687388
mq3,0.6947447698744771,0.6748164973102212,0.6388595337716677,0.6400263000597729,0.6770520023909146,0.6046838015540945,0.7666849970113568,0.6231344889420203
mq4,0.4060120039777055,0.79729347306384,0.8102692449736728,0.829964790045672,0.4039307817842539,0.4906579617456993,0.0002835214684096,0.0
mq5,0.3586541937692499,0.2517957787092488,0.1728600001639507,0.1401482067985338,0.3151780705128716,0.1149244531060783,0.3167711701434244,0.077186288085206
