,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mq2,0.7661411213970124,0.7678128999666877,0.7653096153087524,0.7641821749640578,0.7655579850335753,0.7809454363253033,0.781196374329371,0.7603553361583035
mq3,0.8223899639591661,0.7843635762939196,0.7880977173408024,0.7797094776215898,0.8152314848297566,0.76880607067247,0.88286728995722,0.8383924667644119
mq4,0.2523702620895716,0.4259533352448369,0.4269257960440395,0.428882823109109,0.2455088784727722,0.3309093100236569,0.0,0.0
mq5,0.8746082260249621,0.8754770616292108,0.8778562233914234,0.8733854179476647,0.8802954200475488,0.7581154945175933,0.7975728307517865,0.7544018689245751
