,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,0.912,1.0,1.0
mq2,0.9829184925503944,0.9830604732690622,0.9823149284253578,0.9827689161554192,0.9832766579024248,0.9630353491089688,0.9846456324861232,0.9881098451650598
mq3,0.9848799298860648,0.9848466257668712,0.984465089103126,0.9845930470347648,0.9849132340052584,0.9810061349693252,0.9863085013146364,0.9891352614665498
mq4,0.274153189145861,0.4451375567259638,0.319848213844818,0.47040140900808,0.2641775049423756,0.0485648172655185,0.0,0.0364332494102188
mq5,0.8849149996805705,0.8674185093782002,0.8658418021873306,0.7404826017936136,0.8629249213419758,0.7209500201029274,0.7707979416326657,0.613163046441027
