,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,0.9998604910714286,1.0,1.0,1.0,1.0,1.0
mq2,0.7662372435282102,0.7653736510712532,0.764603954903482,0.7658569669813802,0.765394231548934,0.7874824261212217,0.7814616946972088,0.7606764737950593
mq3,0.8122639237718283,0.7828488736828494,0.7784383163703625,0.7828464766222211,0.7980354170501964,0.7586372258310541,0.8835793196950172,0.8486070612201067
mq4,0.3677550979483391,0.6470836141626394,0.6249596784380871,0.6521433988354591,0.3533120861861634,0.4384037371029614,0.0046650194921218,0.0
mq5,0.8256637864710824,0.8521144916395277,0.8339711001355716,0.8488847933261447,0.7688610091516855,0.7339656477833858,0.7972567072259374,0.7540272677939839
