,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.7674706246134817,0.7759431045145332,0.7790970933828076,0.8364254792826221,0.7601731601731602,0.7968460111317255,0.9420531849103276,0.9757575757575756
mq2,0.9575950179193824,0.9371697194042312,0.9497335697298414,0.9263430390939246,0.9556432672321568,0.9286581539175834,0.9967068578390272,0.9912366512503218
mq3,0.984850421642816,0.985842329339502,0.9894397634098124,0.981750636115888,0.9795153333586192,0.9673547935525192,0.9935220954608266,0.968790630649824
mq4,0.1637084888789191,0.2521421747453401,0.1750352351478911,0.2481198168470169,0.1551339195093264,0.1901251262219825,0.0,0.293285848271934
mq5,0.9474333397407492,0.9269854051764091,0.9452344207173644,0.9333801310718752,0.949720838460155,0.8639397461369352,0.7431376217561024,0.4100203322644345
