,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.6612903225806451,0.6620583717357911,0.6812596006144392,0.6551459293394777,0.6597542242703534,0.6689708141321044,0.6820276497695852,1.0
mq2,0.9680052666227782,0.9344788237875796,0.9612332675005486,0.906491112574062,0.9574369102479702,0.9498968619705946,0.9839411893789772,0.9491112574061884
mq3,0.974566600833882,0.9618477068246654,0.9763923633969716,0.945982005705508,0.9690893131446128,0.9622953697608077,0.9869124423963134,0.886346280447663
mq4,0.2200594902260851,0.3718878103084034,0.2867178462841876,0.408361662725367,0.2223414583603535,0.0005905564257172,0.0089024625993422,0.0
mq5,0.917372156877066,0.8683675736415798,0.8745058743684553,0.8153146525177027,0.9109509573254032,0.7826342004767773,0.7664353244336563,0.6724436371823653
