,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.9840759454907364,0.9693768182514164,0.9897412341142244,0.9788700045934772,0.9574337773694688,0.9790231205022202,1.0,1.0
mq2,0.900416867195365,0.8861714413255519,0.9021026368153752,0.8887347212078155,0.8785279350177412,0.9094945481104468,0.9770600151255932,0.9429020480000108
mq3,0.9454776170116092,0.9464180675443762,0.9509937753899224,0.9469976494549108,0.907008490459816,0.9138272965476514,0.9689041849799604,0.9686263510153976
mq4,0.23565486345479,0.3386247312765003,0.2717006700825304,0.3347722157843545,0.2403470697403665,0.2905738245194636,0.0137797677122338,0.0
mq5,0.8818703974189194,0.8413572926775477,0.8895361365013994,0.8428601748376109,0.8720152341728163,0.7425296430298607,0.7297675101328217,0.5842645342568621
