,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.7257142857142858,0.5982857142857142,0.7308571428571429,0.6651428571428571,0.7588571428571429,0.7508571428571429,0.8442857142857142,0.9874285714285714
mq2,0.8330826760151914,0.7854262342973999,0.8156435874963482,0.7983558282208589,0.8438924919661116,0.8772299152789951,0.9514157172071284,0.9394063686824424
mq3,0.912054338299737,0.9105825299444932,0.91994507741747,0.9168051416885772,0.9186427110721588,0.8807928717499269,0.9319246275197196,0.8684656733859188
mq4,0.2944905610337245,0.47813641708476,0.408489882929739,0.4624174930597857,0.2873331134809454,0.2539903500975462,0.0041762943611255,0.0
mq5,0.7658883469938431,0.6450212769446599,0.6938846860157559,0.672069642147303,0.7806979879924065,0.5299085959834279,0.6079052703182352,0.3048163441768278
