,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.9488571428571428,0.9228571428571428,0.9382857142857142,0.9237142857142858,0.9411428571428572,0.9308571428571428,0.9677142857142856,0.996
mq2,0.8472328366929593,0.8362787028921999,0.8537364884604148,0.8434531113058721,0.851434998539293,0.9029044697633656,0.9573181419807186,0.9325737657026
mq3,0.9148875255623722,0.923193105463044,0.927954425942156,0.922729184925504,0.9156196319018404,0.8957212971078001,0.945475898334794,0.928756061933976
mq4,0.2707030753886071,0.4071132589396181,0.3515698483138461,0.409109297672142,0.2670566426294642,0.3493789626267138,0.0079189032312096,0.0
mq5,0.8364381027139481,0.7771502632877939,0.7899505095595122,0.7765807905603234,0.8353178036920347,0.6009201655419646,0.6286530243517182,0.3979215811277119
