,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.7017142857142857,0.6888571428571427,0.7937142857142857,0.6922857142857142,0.711142857142857,0.7237142857142858,0.7297142857142858,0.9971428571428572
mq2,0.8056389132340053,0.7843423897166228,0.7905480572597137,0.7896763073327491,0.8104271107215892,0.8994794040315512,0.9733596260590126,0.9351130587204208
mq3,0.9126310254163016,0.9215781478235466,0.919639497516798,0.9215115395851592,0.9175623721881392,0.8560309669880222,0.9224306164183464,0.7585427987145779
mq4,0.3007861544992631,0.4337702179914667,0.3745858183783181,0.4337541106652642,0.2920518335262253,0.2655247716557299,0.0170967044257889,0.0
mq5,0.7322572129944245,0.6800562589642022,0.6751059617627221,0.682241962018106,0.7441487877130898,0.4759550959650461,0.5442137885434336,0.2338957106473201
