,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.9960259359966532,0.9828487764066096,0.9926793557833088,0.9855678728299518,0.9958167747333192,0.945408910269818,1.0,1.0
mq2,0.9766393014013804,0.9654507300724096,0.9757852262427664,0.9686591144510512,0.9763585522056554,0.880694353143893,0.9820143101164333,0.9729827143155944
mq3,0.9915526239778488,0.9801246999531876,0.9915143399966136,0.9825490408462068,0.9906064182627664,0.930139204290794,0.9937603335624148,0.9882480627682992
mq4,0.1218580855715026,0.3619454359616899,0.1283359107456669,0.308476032290163,0.1171661303163131,0.0,0.0,0.0
mq5,0.9910288794800324,0.9689421803666864,0.98795238534163,0.9773084120731952,0.9916218811831196,0.8918397975992596,0.662255988342472,0.7652608133074645
