,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mq2,0.9204387963774469,0.9126596552731522,0.9168810984516506,0.9134688869412796,0.9194379199532574,0.916851300029214,0.9647566462167688,0.9480052585451358
mq3,0.9360163599182004,0.9291820040899796,0.933389424481449,0.930191060473269,0.9361437335670464,0.9299187846917908,0.9706216768916156,0.9629272567922876
mq4,0.1803045471136685,0.2497158383264088,0.2070758136357481,0.2689278792779869,0.167896645209553,0.1669310050298343,0.0456939553751754,0.1265456117377641
mq5,0.813760509493972,0.9576133993586612,0.91128996015421,0.9587771912093332,0.8204964123685616,0.7875740852897004,0.7037187430162735,0.7726560370818712
