,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.6388571428571429,0.6008571428571429,0.6185714285714284,0.5819999999999999,0.5842857142857142,0.5905714285714285,0.6122857142857142,1.0
mq2,0.6618328951212387,0.615904177621969,0.6270049664037394,0.607348524685948,0.637672217353199,0.7681735319894829,0.7882015775635407,0.6687099035933393
mq3,0.7259082676015192,0.7021449021326323,0.7060297984224364,0.6663651767455449,0.7052427695004382,0.6486725094945953,0.7725801928133217,0.619421560035057
mq4,0.4032987331475002,0.764939934458869,0.7570369503644334,0.7902036955361966,0.3963092564916189,0.0071458542748431,0.0024208975148707,0.0
mq5,0.4070099192210187,0.2870768659263303,0.291687201147023,0.2168735158252955,0.3840959764025436,0.1970094231550681,0.2920744349252079,0.0750728294982253
