,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,1.0,0.9994285714285714,1.0,0.9805714285714284,1.0,0.9237142857142856,1.0,1.0
mq2,0.9829033011977796,0.9822360502483202,0.9826614081215308,0.9769272567922874,0.9833006134969324,0.9641489921121824,0.9840105170902717,0.9880432369266724
mq3,0.984678352322524,0.9839433245690914,0.9841758691206544,0.9826707566462168,0.9851171486999708,0.9838112766579024,0.9857657026000584,0.9894163014899212
mq4,0.3120676885012228,0.4962834090818289,0.3031261226842459,0.5035257410665565,0.2967005362614208,0.1156108978397617,0.0,0.0
mq5,0.7337947618523633,0.6178712877181696,0.7344479060117748,0.6122398883528495,0.7215257473305926,0.6837138555322976,0.6256856355509866,0.6111305079636077
