,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.8262993045601741,0.7006423528162659,0.7509688379253596,0.7003769177682221,0.772893772893773,0.8664330838243881,0.995381430164039,0.998513563730955
mq2,0.8865994125565833,0.8317695049200565,0.8651459021186471,0.8467467369316818,0.8750155893569261,0.9136554248981243,0.990038599010046,0.9717354658464328
mq3,0.9516895733151411,0.9582245445808067,0.9672691844171404,0.9607533086280652,0.9207784932638924,0.9372025443732128,0.986804589887004,0.9855612643899472
mq4,0.2847164197546802,0.4454024378401402,0.3226077303168435,0.4153396461722815,0.2783932120867863,0.3681037928552816,0.005048668274579,0.0139273308926877
mq5,0.794368259481139,0.7116060935632862,0.7764265944574962,0.7603793212042479,0.7975568894391866,0.6509537023715916,0.5546198323521503,0.3903686802589474
