,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.8535365286179618,0.6808980921358772,0.8800604932526758,0.6979990693345742,0.9014657980456026,0.8359702187063751,1.0,1.0
mq2,0.9486810092634476,0.8664646146398948,0.961564932649112,0.8815984427222079,0.9696561585083048,0.9410815945808813,0.9928677342426376,0.98984976291738
mq3,0.9703327453903576,0.969674989762298,0.983268478622034,0.971093260399345,0.9804570775499716,0.9763863722134044,0.9943597048635872,0.9916090991089852
mq4,0.301856727944858,0.5357528388349125,0.3237881441372032,0.4754361884160218,0.2840359979340305,0.2997324403450445,0.0,0.0154923743650297
mq5,0.7516179811767192,0.4454989696278045,0.6992421560293942,0.6732290268799438,0.7827956886937866,0.6320388871099181,0.4049003979333122,0.5282929859004946
