,IDMAP,IncrementalPCA,LAMP,LandmarkMDS,MDS,ProjectionByClustering,MTSNE,UMAP
mq1,0.564,0.5857142857142856,0.5422857142857144,0.5714285714285714,0.5777142857142855,0.5594285714285714,0.5622857142857142,1.0
mq2,0.6807459653317394,0.6499270771069934,0.6409563658099223,0.5967005379557682,0.6482869097429766,0.7626037059175135,0.7844399282725643,0.6894417214584578
mq3,0.7350221159593544,0.710068141063957,0.7068404064554692,0.6555863717872086,0.726893006575015,0.6369252839210999,0.7894202032277347,0.6065941422594143
mq4,0.4036714206771516,0.7392339633921943,0.7323386653457432,0.7792410698646313,0.3912375844588669,0.0,0.0005973456789387,0.0
mq5,0.4519765193152717,0.3250365405166706,0.255946770732913,0.1892216517393087,0.4041117727115745,0.1665537573874151,0.3477186455704895,0.0591064399143296
